Year,Win.Score,Lose.Score,Total.Score
1873,5,0,5
1873,6,5,11
1873,5,13,18
1873,9,12,21
1873,8,22,30
1873,17,11,28
1873,12,10,22
1873,4,14,18
1873,28,10,38
1873,6,14,20
1873,8,7,15
1873,3,22,25
1873,8,7,15
1873,9,5,14
1873,7,5,12
1873,4,11,15
1873,8,10,18
1873,8,11,19
1873,3,0,3
1873,9,16,25
1873,7,6,13
1873,4,16,20
1873,6,11,17
1873,4,13,17
1873,7,5,12
1873,2,10,12
1873,4,11,15
1873,9,7,16
1873,19,18,37
1873,2,18,20
1873,9,1,10
1873,5,17,22
1873,8,13,21
1873,6,23,29
1873,9,4,13
1873,20,0,20
1873,10,0,10
1873,35,1,36
1873,6,17,23
1873,27,17,44
1873,2,11,13
1873,5,1,6
1873,2,1,3
1873,3,13,16
1873,13,12,25
1873,2,11,13
1873,32,3,35
1873,6,10,16
1873,3,14,17
1873,2,13,15
1873,13,10,23
1873,7,16,23
1873,3,12,15
1873,18,17,35
1873,20,10,30
1873,9,5,14
1873,5,4,9
1873,7,14,21
1873,4,13,17
1873,21,13,34
1873,2,13,15
1873,23,1,24
1873,12,11,23
1873,9,12,21
1873,16,10,26
1873,11,10,21
1873,17,14,31
1873,7,4,11
1873,30,19,49
1873,6,1,7
1873,23,10,33
1873,8,16,24
1873,3,20,23
1873,5,4,9
1873,9,2,11
1873,2,12,14
1873,6,4,10
1873,7,2,9
1873,9,24,33
1873,8,11,19
1873,4,12,16
1873,14,0,14
1873,9,4,13
1873,6,5,11
1873,7,2,9
1873,6,10,16
1873,9,17,26
1873,9,7,16
1873,3,11,14
1873,7,6,13
1873,2,11,13
1873,5,3,8
1873,7,14,21
1873,9,0,9
1873,4,2,6
1873,6,17,23
1873,7,5,12
1873,8,25,33
1873,23,1,24
1873,2,14,16
1873,15,10,25
1873,6,5,11
1873,5,13,18
1873,4,10,14
1873,6,11,17
1873,9,9,18
1873,3,2,5
1873,7,2,9
1873,7,4,11
1873,6,11,17
1873,7,5,12
1873,11,10,21
1873,4,19,23
1873,4,2,6
1873,9,4,13
1873,5,14,19
1873,19,11,30
1873,5,11,16
1873,7,14,21
1873,6,10,16
1873,8,4,12
1873,4,15,19
1873,7,6,13
1873,6,10,16
1873,8,6,14
1873,14,13,27
1873,4,10,14
1873,7,18,25
1873,8,7,15
1873,5,4,9
1873,12,11,23
1873,9,17,26
1873,4,29,33
1873,6,25,31
1873,8,2,10
1873,7,0,7
1873,3,17,20
1873,6,13,19
1873,9,13,22
1873,32,13,45
1873,7,18,25
1873,4,12,16
1873,8,6,14
1873,9,13,22
1873,4,24,28
1873,6,17,23
1873,6,13,19
1873,18,13,31
1873,3,15,18
1873,4,4,8
1873,8,11,19
1873,9,8,17
1873,5,4,9
1873,6,10,16
1873,5,17,22
1873,12,1,13
1874,5,14,19
1874,13,0,13
1874,9,8,17
1874,7,10,17
1874,5,11,16
1874,3,12,15
1874,4,11,15
1874,8,24,32
1874,3,24,27
1874,9,10,19
1874,4,10,14
1874,8,5,13
1874,22,2,24
1874,7,1,8
1874,5,2,7
1874,14,0,14
1874,7,28,35
1874,8,5,13
1874,6,16,22
1874,7,12,19
1874,3,25,28
1874,5,17,22
1874,8,3,11
1874,4,0,4
1874,8,1,9
1874,20,14,34
1874,8,2,10
1874,7,2,9
1874,7,16,23
1874,3,2,5
1874,11,10,21
1874,7,18,25
1874,6,4,10
1874,9,7,16
1874,6,2,8
1874,9,3,12
1874,7,4,11
1874,4,12,16
1874,6,2,8
1874,9,5,14
1874,9,3,12
1874,8,0,8
1874,7,6,13
1874,4,3,7
1874,8,14,22
1874,2,0,2
1874,10,0,10
1874,3,10,13
1874,8,7,15
1874,3,17,20
1874,11,10,21
1874,7,5,12
1874,2,0,2
1874,8,1,9
1874,2,13,15
1874,9,2,11
1874,5,2,7
1874,8,1,9
1874,8,3,11
1874,4,12,16
1874,8,4,12
1874,4,15,19
1874,3,13,16
1874,6,12,18
1874,5,11,16
1874,17,12,29
1874,9,6,15
1874,14,11,25
1874,19,11,30
1874,4,15,19
1874,8,6,14
1874,4,11,15
1874,5,2,7
1874,8,12,20
1874,6,15,21
1874,38,1,39
1874,9,5,14
1874,6,11,17
1874,3,10,13
1874,15,1,16
1874,5,4,9
1874,14,10,24
1874,7,13,20
1874,7,14,21
1874,2,10,12
1874,6,18,24
1874,14,13,27
1874,13,12,25
1874,8,7,15
1874,6,29,35
1874,7,3,10
1874,16,15,31
1874,5,3,8
1874,8,2,10
1874,5,3,8
1874,7,13,20
1874,9,12,21
1874,3,2,5
1874,17,16,33
1874,6,12,18
1874,6,12,18
1874,2,14,16
1874,2,15,17
1874,5,2,7
1874,5,11,16
1874,9,1,10
1874,14,0,14
1874,6,5,11
1874,4,13,17
1874,17,12,29
1874,8,7,15
1874,7,6,13
1874,6,13,19
1874,6,2,8
1874,9,8,17
1874,3,10,13
1874,5,2,7
1874,6,4,10
1874,7,10,17
1874,3,1,4
1874,6,2,8
1874,8,10,18
1874,5,13,18
1874,8,4,12
1874,4,17,21
1874,7,3,10
1874,2,14,16
1874,5,1,6
1874,6,2,8
1874,5,4,9
1874,3,2,5
1874,6,3,9
1874,6,5,11
1874,23,10,33
1874,11,10,21
1874,24,16,40
1874,6,14,20
1874,4,3,7
1874,6,13,19
1874,6,2,8
1874,23,1,24
1874,4,3,7
1874,4,0,4
1874,7,5,12
1874,4,0,4
1874,14,0,14
1874,5,1,6
1874,7,3,10
1874,7,2,9
1874,21,15,36
1874,5,25,30
1874,7,3,10
1874,7,6,13
1874,6,2,8
1874,15,1,16
1874,9,11,20
1874,8,11,19
1874,7,5,12
1874,5,4,9
1874,6,5,11
1874,14,1,15
1874,10,0,10
1874,6,3,9
